city,category,fit_score,status,organization,phone,email,contact,website,size_signal,event_signal,why,sources,type_raw,city_raw,md_line
Fort Myers,breweries and food truck parks that host family events,3,,Point Ybel Brewing Company,unknown,unknown,unknown,https://pointybelbrew.com,"Small-batch brewery that grew out of a family kitchen operation on Sanibel Island, now in Fort Myers; rotating experimental taps","Maintains a public event calendar page listing live music, beer releases, food trucks and trivia nights. Books real touring acts alongside local artists — G. Love and Special Sauce, JJ Grey, Ballyhoo, Margo Price.","They clearly run a booked, published calendar and bring food trucks, which is the operational muscle a foam party needs. But the programming reads as adult live-music and trivia, and no stated kids/family policy or lawn description was found. Verify outdoor space and age policy before pitching.",https://pointybelbrew.com/event-calendar/,breweries and food truck parks that host family events,Fort Myers,1538
Fort Myers,breweries and food truck parks that host family events,2,,Old Soul Brewing,unknown,unknown,unknown,unknown,"Opened 2014; ales including an imperial chocolate stout and a chai tea brown ale, plus guest craft taps from around the country","Thin. Only a general statement that they offer ""music and other events to enjoy your beers with."" No published calendar, no family or kids policy, and no outdoor/lawn detail found in any source read.","Scored low — no specific event evidence and no family-friendly signal located. Taproom-first, beer-nerd positioning. Low priority; would need a site visit or phone call to confirm whether any outdoor area exists.",https://www.visitfortmyers.com/visit/editorial/local-breweries-offer-beer-lovers-variety-fun-and-friendship,breweries and food truck parks that host family events,Fort Myers,1551
Fort Myers,church youth programs,5,,Cypress Lake United Methodist Church,(239) 482-1250,clumc@cypresslakeumc.com (church office); children@cypresslakeumc.com (children's ministry),"Gini Moore, Director of Children's Ministry (listed as VBS contact on the church site)",https://www.cypresslakeumc.com/,"8570 Cypress Lake Dr, 33919. Runs a Director of Children's Ministry, a youth ministry for grades 6–12, and an on-site preschool/childcare program (""Bright Beginnings"") with its own summer camp for ages 6 months–5th grade. Office staffed Mon–Fri.","VBS for ages 3 through finished-5th-grade (age-grouped, registration-based). Bright Beginnings summer camp registration opens in February for multiple weeks. Youth ""participate in annual events like the Pumpkin Patch that help fund summer mission trips and weeks at Warren Willis Camp,"" and youth serve as volunteers at VBS.","Three separate event streams (VBS, multi-week summer camp, Pumpkin Patch), a named staff decision-maker with a published ministry email, and a fundraising culture that means they buy attractions.",https://www.cypresslakeumc.com/events/vbs,church youth programs,Fort Myers,363
Fort Myers,church youth programs,5,,First Presbyterian Church of Fort Myers,239-314-8133 (Education Director's published line),sheryl@fpcfortmyers.org,"Sheryl de Jong, Education Director",https://www.fpcfortmyers.org/,"Historic downtown church at 2438 Second Street, 33901, with a paid Education Director and a registration system (MyVBS) for children's programming.","VBS 2026 confirmed — ""Rainforest Falls"" theme, July 12–16, 2026, 5:30 PM – 8:00 PM, with open online registration.",Confirmed dated 2026 event with a named staff contact and direct email/phone published for that exact program. Evening summer VBS in July in Fort Myers is prime foam weather and timing; Classic or Deluxe fits a single VBS night.,https://www.myvbs.org/first-presbyterian-church-of-fort-myers-vbs-2026,church youth programs,Fort Myers,376
Fort Myers,church youth programs,5,,McGregor Baptist Church,(239) 936-1754,unknown,"unknown (staffed ""MSM"" student ministry and separate Children's Ministry)",https://mcgregor.net/,"Large multi-ministry Southern Baptist campus at 3750 Colonial Blvd, 33966; runs its own preschool (preschool.mcgregor.net), a dedicated student ministry site (msmstudents.net), and a separate children's ministry site — indicates paid staff and real budget.","VBS 2026 ""Rainforest Falls,"" evenings 6:15–8:15 PM, free, online registration open April 12 – June 1; a separate Preschool VBS runs anytime June 8–20 with morning/afternoon/evening options. Student ministry also runs summer trips and camp, with a published ""Lower the cost of camp"" fundraising page.","Biggest, most program-heavy church found in Fort Myers. Evening outdoor VBS week plus a preschool VBS plus student camp means multiple distinct dates where foam is an easy add-on; the $649 Commercial package fits their scale.",https://mcgregor.net/around-mcgregor/vbs-2026/,church youth programs,Fort Myers,337
Fort Myers,church youth programs,5,,Summit Church — University Campus (South Fort Myers),(239) 947-7070,unknown,unknown (Summit Kids and Summit Students are staffed ministries),https://www.summitlife.com/,"Multi-site church (University/South Fort Myers, Gateway, Naples) founded 2003; campus at 19601 Ben Hill Griffin Pkwy, 33913. Summit Kids covers infant–5th grade, Summit Students grades 6–12 meeting Sunday and Wednesday evenings.","Annual summer Sports Camp with registration opening April 1 — activities include basketball, soccer, street hockey, field day, arts & crafts, martial arts, sideline cheer, dance, flag football and pickleball. Also a Student Camp for incoming 7th–12th graders at $200/student, and a recurring ""Family Fun Day"" at the Gateway campus.","Sports Camp is an outdoor, high-energy, field-based week already budgeted at a per-student price — foam slots straight into a field day. Multi-campus means repeat bookings.",https://www.summitlife.com/kids,church youth programs,Fort Myers,350
Fort Myers,church youth programs,4,,First Assembly of God — Fort Myers,(239) 936-6277,unknown,unknown,https://famfm.com/,"4701 Summerlin Rd, 33919. Broad age-segmented children's and youth structure: Noah's Nursery, Preschool, Elementary (K–5), Youth Church Bible Study, Girls' Ministries, Royal Rangers, and Youth Church for middle and high school. Sunday 10 AM plus Wednesday 7 PM services. Maintains an events page and weekly newsletter.","Hosts an annual ""Fall Fest"" (dedicated famfm.com/fall-fest page), and runs family-friendly outdoor events featuring bouncy houses, face painting, and free popsicles and popcorn for kids.","They already rent inflatables and run outdoor family attractions — foam is the same buying decision from the same budget line, and Royal Rangers/Girls Ministries give extra summer dates. Ding: no direct kids-pastor contact found.",https://famfm.com/fall-fest,church youth programs,Fort Myers,428
Fort Myers,church youth programs,4,,First Christian Church of Fort Myers,(239) 334-0316,unknown,unknown,https://fccfm.org/,"2061 McGregor Blvd, 33901. Students ""gather twice a week in an energetic environment"" — a twice-weekly student program implies dedicated youth staff. Maintains a contact page and active ministry listings.","""Trunk or Treat @ FCC"" — Saturday, October 18, 5:00–6:30 PM at 2061 McGregor Blvd, listed on the Fort Myers-area family events calendar.","Confirmed public outdoor family event they host on their own property, plus a twice-weekly youth gathering that needs periodic big-draw nights. Central McGregor Blvd location with lawn space. Ding: no VBS or summer camp confirmed, no email found.",https://fortmyersbeach.macaronikid.com/guides/62fe9c6492c32c0e2998a759/halloween-and-fall-fun-guide-for-fort-myers_-fort-myers-beach,church youth programs,Fort Myers,441
Fort Myers,church youth programs,4,,Grace Church — Fort Myers Central Campus,(239) 334-3160,unknown,unknown,https://www.egracechurch.com/,"Multi-site United Methodist congregation with three SWFL campuses (Fort Myers Central, Fort Myers Shores, Cape). Central campus at 2415 Grand Avenue, 33901. Grace Kidz covers ages 4–5th grade; Grace Youth serves 6th–12th weekly.","Runs Vacation Bible School (volunteer recruitment requires youth volunteers to have completed 6th grade) and a Wednesday-evening ""E-Team"" elementary program described as ""like mini Vacation Bible School time"" from 6:30–8 PM. Also runs ""Shoes of Hope,"" a back-to-school outreach since 2011 giving hundreds of families new shoes, school supplies and Bibles.","Established annual VBS plus a large back-to-school outreach — both natural foam slots, and the August timing is peak heat. Multi-campus means a good booking could replicate at Shores and Cape.",https://www.egracechurch.com/vbs/,church youth programs,Fort Myers,415
Fort Myers,church youth programs,4,,New Hope Presbyterian Church (EPC),239.274.1230,unknown,unknown (Student Ministry 6th–12th grade is a staffed ministry),https://newhopefortmyers.org/,"10051 Plantation Road, 33966 — recently built a new campus (""Immeasurably More"" capital project), signalling an expanding congregation with money. Office staffed Mon–Thu 9–4, Fri 9–12. Separate Children's and Student ministries.","Student Ministry publishes recurring themed youth events including ""Game Night,"" ""Water Wars,"" ""River Hang,"" and ""Extreme Chaos"" competitions.","""Water Wars"" and ""Extreme Chaos"" are exactly the messy-outdoor-competition format a foam party replaces or upgrades — they already program this category. New campus with open ground. Ding: no named contact or email found.",https://newhopefortmyers.org/students/,church youth programs,Fort Myers,402
Fort Myers,church youth programs,4,,Riverside Church of Fort Myers,(239) 689-9000,unknown,unknown (separate staffed Riverside Kids and Riverside Student Ministry),https://www.riversidechurch.org/,"8660 Daniels Parkway, 33912; two Sunday services (9 AM and 11 AM), plus a full-week schedule — middle school Sundays 10:30 AM–12:30 PM and high school Wednesdays 6:30–8:30 PM. Kids ministry covers babies through 5th grade.","Runs a dedicated Summer Camp — students attend Word of Life ""The Coast"" camp in Hudson, FL, described as ""high energy action... worshiping, studying Biblical truths, and having fun in the Florida sun."" Separate camp landing page indicates an annual budgeted trip.","Already spends money sending students to an off-site camp, so an on-campus foam event is an easy lower-cost alternative or kickoff. Large Daniels Pkwy campus with outdoor space. Ding: no on-campus festival or VBS found.",https://www.riversidechurch.org/camp,church youth programs,Fort Myers,389
